row,id,prompt,answer,label_json
0,ts9_0,"Now so we can get started by doing a kind of a consent process. So I'm going to read you a series of statements and I'll just have you Say yes, I agree to them, or no, I don't.","Alright, Okay.","[{'Original_Text': ""So [You] Say yes, I agree to them, or no, I don't."", 'Code': 'Agreement Process', 'Topic': 'Consent', 'Keywords': ['Consent', 'Agreement']}]"
1,ts9_1,"Alright, so the first statement is I confirm that I have read the information sheet for this study. I've had the opportunity to consider the information asked questions and have had these questions answered satisfactorily.",Yeah I agree,"[{'Original_Text': 'I agree', 'Code': 'Agreement with Information Request', 'Topic': 'Statements', 'Keywords': ['Statement', 'Participant Agreement']}, {'Original_Text': ""I've had the opportunity to consider the information"", 'Code': 'I have Considered', 'Topic': 'Statements', 'Keywords': []}, {'Original_Text': 'asked questions and have had these questions answered satisfactorily.', 'Code': 'I have had Questions Answered', 'Topic': 'Statements', 'Keywords': []}]"
4,ts9_4,Understand that information collected during the interview may be shared with other researchers for use in future researcher teaching purposes and that the data will be thoroughly anonymized first,I agree,"[{'Original_Text': 'I agree.', 'Code': 'Agreement with Anonymization', 'Topic': 'Informed Consent', 'Keywords': ['Agreeing']}]"
5,ts9_5,I understand that the interview will be audio or video recorded according to my preference typed out and all identifying personal details will be removed.,I agree.,"[{'Original_Text': 'I agree.', 'Code': 'No Personal Info on Video', 'Topic': 'Video Preferences', 'Keywords': ['Video', 'Recording']}, {'Original_Text': 'No Personal Info on Video', 'Code': 'No Personal Info on Video', 'Topic': 'Video Preferences', 'Keywords': ['Video', 'Recording']}]"
6,ts9_6,"I understand that direct quotations may be taken from what I say and use in research or publications, but I will not be identifiable from these quotations.",I agree.,"[{'Original_Text': 'I agree.', 'Code': 'Agreement', 'Topic': 'Informed Consent', 'Keywords': ['Agreement', 'Informed Consent', 'Research']}]"
7,ts9_7,And I agree to take part in this study.,"Yeah, I agree.","[{'Original_Text': 'Yeah, I agree', 'Code': 'Agree to Participate', 'Topic': 'Participant Consent', 'Keywords': ['Participation']}]"
10,ts9_10,"Alright, Excellent. So thank you very much for that. That's all that out of the way. So you have four children. Is that right?","Yeah, I've got four.","[{'Original_Text': 'Is that right?', 'Code': 'Number of Children Verified', 'Topic': 'Child Numbers', 'Keywords': ['Children', 'Quantity']}, {'Original_Text': ""Yeah, I've got four."", 'Code': 'Confirmed Four Children', 'Topic': 'Child Numbers', 'Keywords': ['Four', 'Confirmation']}]"
11,ts9_11,"Yeah, and it's two sets of twins it looks like?","Yeah. That's correct, yeah.","[{'Original_Text': ""Yeah. That's correct, yeah."", 'Code': 'Twins', 'Topic': 'Health Care Situation', 'Keywords': ['Twins', 'Situation']}]"
0,ts9_0,"Now so we can get started by doing a kind of a consent process. So I'm going to read you a series of statements and I'll just have you Say yes, I agree to them, or no, I don't.","Alright, Okay.","[{'Original_Text': 'Alright, Okay.', 'Code': 'Agreed to Consent', 'Topic': 'Participant Consent', 'Keywords': ['Consent', 'Agreement']}]"
1,ts9_1,"Alright, so the first statement is I confirm that I have read the information sheet for this study. I've had the opportunity to consider the information asked questions and have had these questions answered satisfactorily.",Yeah I agree,"[{'Original_Text': 'Yeah I agree', 'Code': 'Confirm Questions Answered', 'Topic': 'Participant Agreement', 'Keywords': ['Agree Answer']}]"
2,ts9_2,"I understand that my participation is voluntary, and that I am free to withdraw at any time without giving any reason. I also understand that I can decline to answer any questions during the interview.",I agree.,"[{'Original_Text': 'I agree.', 'Code': 'Consent', 'Topic': 'Informed Consent', 'Keywords': ['Consent']}]"
3,ts9_3,I understand the information collected during my interview may be looked at by other researchers from Newcastle University who are working on or assisting with this study. I give permission for these individuals to have access to this information.,I agree,"[{'Original_Text': 'I agree.', 'Code': 'Consent Given', 'Topic': 'Researcher Access', 'Keywords': ['Consent', 'Researcher']}]"
4,ts9_4,Understand that information collected during the interview may be shared with other researchers for use in future researcher teaching purposes and that the data will be thoroughly anonymized first,I agree,"[{'Original_Text': 'I agree', 'Code': 'Participant Agreement', 'Topic': 'Consent Form', 'Keywords': ['Consent', 'Agreement']}]"
6,ts9_6,"I understand that direct quotations may be taken from what I say and use in research or publications, but I will not be identifiable from these quotations.",I agree.,"[{'Original_Text': 'Direct quotations', 'Code': 'Direct Quotations', 'Topic': 'Interview Consent', 'Keywords': ['Quotations', 'Information Sharing']}]"
9,ts9_9,Excellent. Yep. I can do that. So that'll be in August of this year once the project is completed. And I can also mail you a hard copy of all the study documents if you'd like. Or if you prefer email that's fine too.,Email is fine,"[{'Original_Text': 'Email is fine', 'Code': 'Email Preference', 'Topic': 'Communication Mode', 'Keywords': ['Email']}]"
10,ts9_10,"Alright, Excellent. So thank you very much for that. That's all that out of the way. So you have four children. Is that right?","Yeah, I've got four.","[{'Original_Text': ""Yeah, I've got four."", 'Code': '4 Children', 'Topic': 'Child Count', 'Keywords': ['4', 'Children']}]"
11,ts9_11,"Yeah, and it's two sets of twins it looks like?","Yeah. That's correct, yeah.","[{'Original_Text': ""Yeah. That's correct, yeah."", 'Code': '2nd Set of Twins in Home', 'Topic': 'Family Details', 'Keywords': ['Twins', 'Family']}]"
0,ts9_0,"Now so we can get started by doing a kind of a consent process. So I'm going to read you a series of statements and I'll just have you Say yes, I agree to them, or no, I don't.","Alright, Okay.","[{'Original_Text': 'Alright', 'Code': 'Agreement to Consent Process', 'Topic': 'Consent', 'Keywords': ['Consent', 'Agreement']}, {'Original_Text': 'Okay', 'Code': 'Agreement to Consent Process', 'Topic': 'Consent', 'Keywords': ['Consent', 'Agreement']}]"
1,ts9_1,"Alright, so the first statement is I confirm that I have read the information sheet for this study. I've had the opportunity to consider the information asked questions and have had these questions answered satisfactorily.",Yeah I agree,"[{'Original_Text': 'Yeah I agree', 'Code': 'Informed Consent Confirmed', 'Topic': 'Informed Consent Confirmation', 'Keywords': ['Consent', 'Agreed']}]"
3,ts9_3,I understand the information collected during my interview may be looked at by other researchers from Newcastle University who are working on or assisting with this study. I give permission for these individuals to have access to this information.,I agree,"[{'Original_Text': 'I agree.', 'Code': 'Give Permission', 'Topic': 'Confidentiality', 'Keywords': ['Access', 'Permission']}]"
4,ts9_4,Understand that information collected during the interview may be shared with other researchers for use in future researcher teaching purposes and that the data will be thoroughly anonymized first,I agree,"[{'Original_Text': 'I agree', 'Code': 'Agree to Consent', 'Topic': 'Agreement', 'Keywords': ['Consent', 'Agreement']}]"
5,ts9_5,I understand that the interview will be audio or video recorded according to my preference typed out and all identifying personal details will be removed.,I agree.,"[{'Original_Text': 'I agree', 'Code': 'I Agree', 'Topic': 'Interview Consent', 'Keywords': ['Confidentiality', 'Consent']}]"
7,ts9_7,And I agree to take part in this study.,"Yeah, I agree.","[{'Original_Text': 'I agree to take part in this study.', 'Code': 'Consent for Study', 'Topic': 'Participant Consent', 'Keywords': ['Consent', 'Study']}, {'Original_Text': 'Yeah, I agree.', 'Code': 'Verbal Consent', 'Topic': 'Participant Consent', 'Keywords': ['Consent', 'Study']}]"
9,ts9_9,Excellent. Yep. I can do that. So that'll be in August of this year once the project is completed. And I can also mail you a hard copy of all the study documents if you'd like. Or if you prefer email that's fine too.,Email is fine,"[{'Original_Text': 'Email is fine', 'Code': 'Email Preferred', 'Topic': 'Communication Preference', 'Keywords': ['Communication', 'Preference']}]"
10,ts9_10,"Alright, Excellent. So thank you very much for that. That's all that out of the way. So you have four children. Is that right?","Yeah, I've got four.","[{'Original_Text': ""I've got four."", 'Code': '4 Children', 'Topic': 'Children', 'Keywords': ['Number of Children', 'Family Size', 'Health Impacts', 'Family History']}]"
11,ts9_11,"Yeah, and it's two sets of twins it looks like?","Yeah. That's correct, yeah.","[{'Original_Text': 'Yeah.', 'Code': 'Yes', 'Topic': 'Child Count (Number Twins)', 'Keywords': ['Children', 'Twins', 'Yes']}, {'Original_Text': ""That's correct, yeah."", 'Code': 'Correct', 'Topic': 'Child Count', 'Keywords': ['Children', 'Number Twins']}]"
13,ts9_13,Yeah with four children I think you would need a decent sized garden. I cant imagine it would work any other way.,No,"[{'Original_Text': 'Interviewer: Yeah with four children I think you would need a decent sized garden', 'Code': 'Large garden required', 'Topic': 'Garden', 'Keywords': ['Garden', 'Big']}]"
1,ts9_1,"Alright, so the first statement is I confirm that I have read the information sheet for this study. I've had the opportunity to consider the information asked questions and have had these questions answered satisfactorily.",Yeah I agree,"[{'Original_Text': 'Yeah, I agree.', 'Code': 'I agree.', 'Topic': 'Agreement', 'Keywords': ['Agreement']}]"
3,ts9_3,I understand the information collected during my interview may be looked at by other researchers from Newcastle University who are working on or assisting with this study. I give permission for these individuals to have access to this information.,I agree,"[{'Original_Text': 'I understand the information collected during my interview may be looked at by other researchers from Newcastle University who are working on or assisting with this study. I give permission for these individuals to have access to this information.', 'Code': 'Informed Consent for Interview Data Sharing', 'Topic': 'Permissions', 'Keywords': ['Consent', 'Access']}, {'Original_Text': 'I agree', 'Code': 'Agreement', 'Topic': 'Agreement', 'Keywords': ['Agreement']}]"
4,ts9_4,Understand that information collected during the interview may be shared with other researchers for use in future researcher teaching purposes and that the data will be thoroughly anonymized first,I agree,"[{'Original_Text': 'I agree', 'Code': 'Agreed to Data Sharing', 'Topic': 'Informed Consent', 'Keywords': ['Data Agreement', 'Informed Consent']}]"
7,ts9_7,And I agree to take part in this study.,"Yeah, I agree.","[{'Original_Text': 'And you agreed', 'Code': 'Agreement', 'Topic': 'Participant Agreement', 'Keywords': ['agree', 'participation']}, {'Original_Text': 'to take part ', 'Code': 'Take Part', 'Topic': 'Participation', 'Keywords': ['Agreement', 'take']}, {'Original_Text': 'in this study.', 'Code': 'In Study', 'Topic': 'Study Participation', 'Keywords': ['in', 'study', 'participation']}]"
9,ts9_9,Excellent. Yep. I can do that. So that'll be in August of this year once the project is completed. And I can also mail you a hard copy of all the study documents if you'd like. Or if you prefer email that's fine too.,Email is fine,"[{'Original_Text': 'Email is fine', 'Code': 'Email Acceptable', 'Topic': 'Study Materials', 'Keywords': ['Email', 'Document']}]"
11,ts9_11,"Yeah, and it's two sets of twins it looks like?","Yeah. That's correct, yeah.","[{'Original_Text': ""Yeah. That's correct, yeah."", 'Code': 'Yes', 'Topic': ' twins, twins ', 'Keywords': ['Multiple Children']}, {'Original_Text': ""Yeah. And it's two sets of twins it looks like?"", 'Code': 'No', 'Topic': 'two sets of twins', 'Keywords': ['Multiple Children']}, {'Original_Text': ""Yeah. That's correct, yeah."", 'Code': 'Correct', 'Topic': 'Correct', 'Keywords': ['Correct']}, {'Original_Text': ""Yeah. That's correct, yeah."", 'Code': ' Yes ', 'Topic': ' Yes ', 'Keywords': ['Yes']}]"
12,ts9_12,"So two of your children or seven and two are four. Is that right, that's right, yeah. So how are they doing with, you know, all of them being at home these days?","They haven't strangled each other yet which I'm considering a plus point. For the most part they're alright because they have siblings to play with and stuff. They kind of, you know, they're not suffering from any kind of loneliness, which I'm thinking some of their are. I think sometimes just want to get away from each other. We've got quite a big garden and a decent sized house so it's going okay.","[{'Original_Text': ""They haven't strangled each other yet which I'm considering a plus point."", 'Code': 'Not Strangled Each Other', 'Topic': 'Strangulation', 'Keywords': ['Strangulation', 'Home Life', 'Sibling Problems']}, {'Original_Text': 'They are kind of alright because they have siblings to play with and stuff.', 'Code': 'Siblings Are Available', 'Topic': 'Play Interaction', 'Keywords': ['Siblings', 'Interaction', 'Home Life']}, {'Original_Text': 'I think sometimes they just want to get away from each other', 'Code': 'Want to be Alone', 'Topic': 'Solitude', 'Keywords': ['Solitude', 'Home Life', 'Sibling Problems']}]"
1,ts9_1,"Alright, so the first statement is I confirm that I have read the information sheet for this study. I've had the opportunity to consider the information asked questions and have had these questions answered satisfactorily.",Yeah I agree,"[{'Original_Text': ' yeah I agree', 'Code': 'Informed Consent Agreement', 'Topic': 'Consent', 'Keywords': ['I agree', 'Informed consent']}]"
2,ts9_2,"I understand that my participation is voluntary, and that I am free to withdraw at any time without giving any reason. I also understand that I can decline to answer any questions during the interview.",I agree.,"[{'Original_Text': 'I agree.', 'Code': 'Participant Understands Rights', 'Topic': 'Participants Rights', 'Keywords': ['Participation', 'Rights']}]"
8,ts9_8,"Excellent. And there's just two last things. So if you'd like to receive a copy of the research findings, I can send those to you after the studies completed and send those to your email address.","Yeah, that's fine. I know my wife is involved as well so she'll probably get a copy as well. So yeah, send them to me anyway.","[{'Original_Text': ""Yeah, that's fine. I know my wife is involved as well so she'll probably get a copy as well"", 'Code': 'Wife Part of Participant', 'Topic': 'Personal Involvement', 'Keywords': ['Partner', 'Personal']}, {'Original_Text': 'So yeah, send them to me anyway.', 'Code': 'Email as Preferred Option', 'Topic': 'Email', 'Keywords': ['Preferred Contact Method', 'Contact Method']}]"
9,ts9_9,Excellent. Yep. I can do that. So that'll be in August of this year once the project is completed. And I can also mail you a hard copy of all the study documents if you'd like. Or if you prefer email that's fine too.,Email is fine,"[{'Original_Text': 'Email is fine', 'Code': 'Email Response from Parent', 'Topic': 'Preferences', 'Keywords': ['Email Communication', 'Preference']}, {'Original_Text': 'You too, bye bye', 'Code': 'Goodbye Response from Parent', 'Topic': 'Interaction and Ending', 'Keywords': ['Goodbye', 'Ending']}]"
10,ts9_10,"Alright, Excellent. So thank you very much for that. That's all that out of the way. So you have four children. Is that right?","Yeah, I've got four.","[{'Original_Text': ""Yeah, I've got four."", 'Code': 'Four Children', 'Topic': 'Household', 'Keywords': ['Children', 'Number']}]"
15,ts9_15,"Yeah, sure. Um, so if one of your children were starting to get the flu. What symptoms would you expect to see in them?","Probably just generally off color, not acting themselves. Maybe a bit grumpy and tired, lethargic and and along with that complaining of aches and pains. And you know, generally not wanting to do anything that they normally want to do.","[{'Original_Text': 'Probably just generally off color', 'Code': 'Appears Sick', 'Topic': 'Appearance/Behavior', 'Keywords': ['Sick', 'Appears']}, {'Original_Text': '... just generally not wanting to do anything that they normally want to do.', 'Code': 'Lack of Will', 'Topic': 'Symptoms', 'Keywords': ['Will', 'Movement']}]"
0,ts9_0,"Now so we can get started by doing a kind of a consent process. So I'm going to read you a series of statements and I'll just have you Say yes, I agree to them, or no, I don't.","Alright, Okay.","[{'Original_Text': 'Yeah, I agree to them.', 'Code': 'Participant Consent', 'Topic': 'Consent', 'Keywords': ['Yes']}, {'Original_Text': 'Okay.', 'Code': 'Participant Consent', 'Topic': 'Consent', 'Keywords': ['No']}]"
1,ts9_1,"Alright, so the first statement is I confirm that I have read the information sheet for this study. I've had the opportunity to consider the information asked questions and have had these questions answered satisfactorily.",Yeah I agree,"[{'Original_Text': 'Yeah I agree', 'Code': 'Confirming Participation', 'Topic': 'Participation', 'Keywords': ['Informed Consent', 'Participate']}]"
3,ts9_3,I understand the information collected during my interview may be looked at by other researchers from Newcastle University who are working on or assisting with this study. I give permission for these individuals to have access to this information.,I agree,"[{'Original_Text': 'I agree', 'Code': 'Agree Information Use', 'Topic': 'Consent Management', 'Keywords': ['Permission']}]"
6,ts9_6,"I understand that direct quotations may be taken from what I say and use in research or publications, but I will not be identifiable from these quotations.",I agree.,"[{'Original_Text': 'I agree.', 'Code': 'Informed Consent Acceptance', 'Topic': 'Informed Consent', 'Keywords': ['Consent', 'Informed']}]"
8,ts9_8,"Excellent. And there's just two last things. So if you'd like to receive a copy of the research findings, I can send those to you after the studies completed and send those to your email address.","Yeah, that's fine. I know my wife is involved as well so she'll probably get a copy as well. So yeah, send them to me anyway.","[{'Original_Text': ""Yeah, that's fine."", 'Code': 'Participant Wants Findings', 'Topic': 'Findings', 'Keywords': ['Findings', 'Participants']}, {'Original_Text': 'So yeah, send them to me anyway.', 'Code': 'Send to Me Anyway', 'Topic': 'Preferred Mailing', 'Keywords': ['Send', 'Email']}]"
9,ts9_9,Excellent. Yep. I can do that. So that'll be in August of this year once the project is completed. And I can also mail you a hard copy of all the study documents if you'd like. Or if you prefer email that's fine too.,Email is fine,"[{'Original_Text': 'Email is fine', 'Code': 'Email for Mailing', 'Topic': 'Email Contact', 'Keywords': ['Email']}]"
11,ts9_11,"Yeah, and it's two sets of twins it looks like?","Yeah. That's correct, yeah.","[{'Original_Text': ""That's correct, yeah."", 'Code': 'Correct', 'Topic': 'Affirmative Response', 'Keywords': ['Correct']}]"
2,ts9_2,"I understand that my participation is voluntary, and that I am free to withdraw at any time without giving any reason. I also understand that I can decline to answer any questions during the interview.",I agree.,"[{'Original_Text': 'I agree.', 'Code': 'Informed Consent: Agree', 'Topic': 'Informed Consent', 'Keywords': ['Informed Consent', 'Agreement']}]"
3,ts9_3,I understand the information collected during my interview may be looked at by other researchers from Newcastle University who are working on or assisting with this study. I give permission for these individuals to have access to this information.,I agree,"[{'Original_Text': 'I agree.', 'Code': 'Agreement', 'Topic': 'Consent', 'Keywords': ['Agreement']}]"
8,ts9_8,"Excellent. And there's just two last things. So if you'd like to receive a copy of the research findings, I can send those to you after the studies completed and send those to your email address.","Yeah, that's fine. I know my wife is involved as well so she'll probably get a copy as well. So yeah, send them to me anyway.","[{'Original_Text': ""Yeah, that's fine. "", 'Code': 'Yes, Send to Email', 'Topic': 'Email Research', 'Keywords': ['Yes', 'Email']}, {'Original_Text': 'I know my wife is involved as well', 'Code': 'Partner Informed', 'Topic': 'Informed Spouse', 'Keywords': ['Partner', 'Informed']}, {'Original_Text': ""So she'll probably get a copy as well."", 'Code': 'Wife Also Interested', 'Topic': 'Interested Spouse', 'Keywords': ['Wife', 'Interested']}, {'Original_Text': 'So yeah, send them to me anyway.', 'Code': 'Wife Also Interested', 'Topic': 'Interested Spouse', 'Keywords': ['Send', 'Me']}]"
9,ts9_9,Excellent. Yep. I can do that. So that'll be in August of this year once the project is completed. And I can also mail you a hard copy of all the study documents if you'd like. Or if you prefer email that's fine too.,Email is fine,"[{'Original_Text': 'Email is fine.', 'Code': ""Participant's Preferred Communication Method"", 'Topic': 'Communication', 'Keywords': ['Email', 'Preferred']}]"
16,ts9_16,"Yeah, that's good. Um, so is flu, something you would be worried about your child one of your children became ill with? Or is it something that is more like, well, if they get it you know they get it. Obviously, you don't want it to happen.","Yeah, I put it down as one of these things that if they're going to catch it, they're going to catch it. Theres a certain amount of precaution you can take but you can't just live your life hiding from everything. So if they did show symptoms I wouldn't be worried, unless they got to the point where obviously if it was a hospitalisation then I'd be really worried.","[{'Original_Text': ""So if they did show symptoms I wouldn't be worried."", 'Code': 'Limited Concern with Symptoms', 'Topic': 'Symptoms', 'Keywords': ['Symptoms', 'Limited Concern']}, {'Original_Text': ""We try and go over and stuff but you can't just live your life hiding from everything"", 'Code': 'Limited Fear of Flu', 'Topic': 'Flu Risk', 'Keywords': ['Flu', 'Risk']}, {'Original_Text': ""So if they did show symptoms I wouldn't be worried, unless they got to the point where obviously if it was a hospitalisation then I'd be really worried."", 'Code': 'Hospitalisation Only Major Concern', 'Topic': 'Major Concerns', 'Keywords': ['Hospitalisation', 'Major Concern']}]"
18,ts9_18,"Yeah, absolutely. So have any of your children ever gotten the flu before? Do you know anyone whose children have gotten the flu?","Uh no, I don't know of anyone’s children. Certainly not any of mine.","[{'Original_Text': ""No I don't know of anyone’s children, certainly not any of mine."", 'Code': 'No Flu Experience', 'Topic': 'Experience', 'Keywords': ['Experience', 'No Flu', 'No Personal Flu']}, {'Original_Text': ""No I don't know of anyone’s children, certainly not any of mine."", 'Code': 'No Knowledge of Others with Flu', 'Topic': 'Social Knowledge', 'Keywords': ['Flu Experience']}]"
20,ts9_20,Yeah. So you would start with the NHS but then kind of move on to some of those other like health authority kind of websites.,"Yeah, I like to try, rather than just having a single approach to have a more general, sometimes some of the smaller symptoms may not always be listed on one website, they just kind of get buried.","[{'Original_Text': 'Yeah, I like to try, rather than just having a single approach to have a more general', 'Code': 'Multiple Sources used for Knowledge', 'Topic': 'Seeking Flu Knowledge', 'Keywords': ['Sources', 'Knowledge']}, {'Original_Text': 'sometimes some of the smaller symptoms may not always be listed on one website', 'Code': 'Symptoms not Always Listed on Single Source', 'Topic': 'Information Accuracy', 'Keywords': ['Symptoms', 'Accuracy']}, {'Original_Text': 'they just kind of get buried.', 'Code': 'Symptoms Hidden or Buried', 'Topic': 'Information Quality', 'Keywords': ['Symptoms', 'Buried']}]"
21,ts9_21,"Yeah. Um, have you ever talked to a medical professional about the flu like maybe your children's, one of your kids' GP or like a health visitor or just any other you know medical professional?","Not about flu specifically in children, but about myself I have, yeah.","[{'Original_Text': 'Not about flu specifically in children, but about myself I have, yeah.', 'Code': 'Medical Professionals for Self', 'Topic': 'Medical Professional Access', 'Keywords': ['Self', 'GP']}]"
22,ts9_22,"Oh okay, was it because you were ill?","Yeah, yeah, I had the flu.","[{'Original_Text': 'Yeah, yeah, I had the flu.', 'Code': 'Had the Flu', 'Topic': 'Health Event', 'Keywords': ['Flu', 'Illness']}]"
24,ts9_24,"Yeah, absolutely. So the, it seems like the main benefit for you. It would just be, you know, that way the kids can't get sick right?","Yeah, yeah, yeah, pretty straightforward.","[{'Original_Text': 'so the main benefit for you.', 'Code': 'Main Benefit', 'Topic': 'Benefits', 'Keywords': ['Benefit', 'Vaccination']}, {'Original_Text': 'to get sick.', 'Code': 'Avoid Getting Sick', 'Topic': 'Side Effects', 'Keywords': ['Sick', 'Vaccines']}, {'Original_Text': 'Yeah, yeah, yeah, pretty straightforward.', 'Code': 'Simple Benefit', 'Topic': 'Simplicity', 'Keywords': ['Simple', 'Clear Benefit']}]"
25,ts9_25,"Yeah. Um, so, do you think there are downsides of getting the flu vaccine and that can be, when I say downsides here, I don't just mean side effects. I mean, like, uou know,  maybe it's inconvenient, maybe it takes a really long time you know any downsides you can think of at all.","No I don't see any down sides for children in the UK. It's free. It's obviously just the nasal, nasal spray. So there's no inconvenience there. Kids wine afterwards a bit, you know someone’s sticking something up their nose, but aside from that, no there's no, no, no side effects anything I'd worry about or anything like that. So no real downsides","[{'Original_Text': ""No I don't see any down sides for children in the UK."", 'Code': 'No Downside in UK', 'Topic': 'Views on Downsides', 'Keywords': ['Downsides', 'No Downside']}, {'Original_Text': ""It's free. It's obviously just the nasal, nasal spray. So there's no inconvenience there."", 'Code': 'Free, No Inconvenience', 'Topic': 'Economic Impact', 'Keywords': ['Free', 'Inconvenience']}]"
26,ts9_26,"Yeah, so pretty, pretty easy. Like you said, pretty straightforward. So if you want to learn more about a vaccine, like whether it is something that would be beneficial for your children, whether it's something that's recommended for them. Where would you go to get that information?","Uh the WHO. Well, I would use google in the UK to find out who was creating the vaccine and then I would go to that website and find out more information on their website.","[{'Original_Text': 'I would use google in the UK to find out who was creating the vaccine and then I would go to that website and find out more information on their website.', 'Code': 'Google', 'Topic': 'Information Source', 'Keywords': ['Google', 'Information Source']}, {'Original_Text': 'I would use google in the UK to find out who was creating the vaccine and then I would go to that website and find out more information on their website.', 'Code': 'Website of Vaccine Creator', 'Topic': 'Information Source', 'Keywords': ['Website', 'Information Source']}]"
28,ts9_28,"Have you. So have your, your four year old children have they received the flu vaccine this year?","Not in 2020 but they did get it, at the backend of, well it would have been last year now wouldn't it? But it would have been the back end of 2019.","[{'Original_Text': ""Not in 2020 but they did get it, at the backend of, well it would have been last year now wouldn't it?"", 'Code': 'Flu Vaccine', 'Topic': 'Flu Prevention', 'Keywords': ['Flu', 'Vaccine']}, {'Original_Text': ""at the backend of, well it would have been last year now wouldn't it?"", 'Code': 'Last Year', 'Topic': 'Time', 'Keywords': ['Last Year', 'Time']}, {'Original_Text': ""They did get it, at the backend of, well it would have been last year now wouldn't it?"", 'Code': 'Received Flu Vaccine', 'Topic': 'Flu Vaccine Status', 'Keywords': ['Got', 'Yes']}]"
