row,id,prompt,answer,label_json
4,ts9_4,Understand that information collected during the interview may be shared with other researchers for use in future researcher teaching purposes and that the data will be thoroughly anonymized first,I agree,"[{'Original_Text': 'I agree', 'Code': 'Agreement', 'Topic': 'Privacy', 'Keywords': ['Agreement', 'Privacy']}]"
5,ts9_5,I understand that the interview will be audio or video recorded according to my preference typed out and all identifying personal details will be removed.,I agree.,"[{'Original_Text': 'I agree.', 'Code': 'Agreement', 'Topic': 'Interview Preference', 'Keywords': ['Preference', 'Agreement']}]"
6,ts9_6,"I understand that direct quotations may be taken from what I say and use in research or publications, but I will not be identifiable from these quotations.",I agree.,"[{'Original_Text': 'I understand that direct quotations may be taken from what I say and use in research or publications, but I will not be identifiable from these quotations.', 'Code': 'Acceptable Use of Direct Quotations', 'Topic': 'Quotations', 'Keywords': ['Acceptable Use', 'Quotations']}, {'Original_Text': 'I agree.', 'Code': 'Agree', 'Topic': 'Agreement', 'Keywords': ['Agreement']}]"
7,ts9_7,And I agree to take part in this study.,"Yeah, I agree.","[{'Original_Text': 'Interviewer: And I agree to take part in this study.', 'Code': 'Research Participation Agreement', 'Topic': 'Study Participation', 'Keywords': ['Participation', 'Agreement']}, {'Original_Text': 'Answer: Yeah, I agree', 'Code': 'Affirmation', 'Topic': 'Affirmation', 'Keywords': ['Affirmation']}]"
8,ts9_8,"Excellent. And there's just two last things. So if you'd like to receive a copy of the research findings, I can send those to you after the studies completed and send those to your email address.","Yeah, that's fine. I know my wife is involved as well so she'll probably get a copy as well. So yeah, send them to me anyway.","[{'Original_Text': ""That's fine."", 'Code': 'Accept to Email Copy', 'Topic': 'Email Copy', 'Keywords': ['Fine', 'To Email']}, {'Original_Text': ""I know my wife is involved as well so she'll probably get a copy as well."", 'Code': 'Include Wife as Participant', 'Topic': 'Wife Participation', 'Keywords': ['Wife', 'Participant']}, {'Original_Text': 'So yeah, send them to me anyway.', 'Code': 'Accept to Email Copy', 'Topic': 'Email Copy', 'Keywords': ['Accept', 'To Email']}]"
10,ts9_10,"Alright, Excellent. So thank you very much for that. That's all that out of the way. So you have four children. Is that right?","Yeah, I've got four.","[{'Original_Text': ""Yeah, I've got four."", 'Code': 'Four Children', 'Topic': 'Child Count', 'Keywords': ['Four Children']}]"
13,ts9_13,Yeah with four children I think you would need a decent sized garden. I cant imagine it would work any other way.,No,"[{'Original_Text': 'I cant imagine it would work any other way.', 'Code': 'Garden Essential', 'Topic': 'House and Home', 'Keywords': ['Garden', 'Size']}, {'Original_Text': 'I think you would need a decent sized garden.', 'Code': 'Garden Essential', 'Topic': 'House and Home', 'Keywords': ['Garden', 'Size']}]"
0,ts9_0,"Now so we can get started by doing a kind of a consent process. So I'm going to read you a series of statements and I'll just have you Say yes, I agree to them, or no, I don't.","Alright, Okay.","[{'Original_Text': ""Now so we can get started by doing a kind of a consent process. So I'm going to read you a series of statements and I'll just have you Say yes, I agree to them, or no, I don't."", 'Code': ""I'm going to read you a series of statements, and I'll just have you say yes, I agree to them, or no, I don't.""}]"
2,ts9_2,"I understand that my participation is voluntary, and that I am free to withdraw at any time without giving any reason. I also understand that I can decline to answer any questions during the interview.",I agree.,"[{'Original_Text': 'I agree.', 'Code': 'Agree to Voluntary Participation', 'Topic': 'Informed Consent', 'Keywords': ['Consent', 'Voluntary']}]"
4,ts9_4,Understand that information collected during the interview may be shared with other researchers for use in future researcher teaching purposes and that the data will be thoroughly anonymized first,I agree,"[{'Original_Text': '', 'Code': 'Consent', 'Topic': 'Interview Questions', 'Keywords': ['Interview Questions']}]"
5,ts9_5,I understand that the interview will be audio or video recorded according to my preference typed out and all identifying personal details will be removed.,I agree.,"[{'Original_Text': 'I agree.', 'Code': 'Agreed to Audio-Visual Recording', 'Topic': 'Informed Consent', 'Keywords': ['Informed', 'Consent', 'Agreement']}]"
6,ts9_6,"I understand that direct quotations may be taken from what I say and use in research or publications, but I will not be identifiable from these quotations.",I agree.,"[{'Original_Text': 'I agree.', 'Code': 'Agreed for Publication', 'Topic': 'Consent', 'Keywords': ['Publication', 'Quoted Data']}]"
8,ts9_8,"Excellent. And there's just two last things. So if you'd like to receive a copy of the research findings, I can send those to you after the studies completed and send those to your email address.","Yeah, that's fine. I know my wife is involved as well so she'll probably get a copy as well. So yeah, send them to me anyway.","[{'Original_Text': ""Yeah, that's fine."", 'Code': 'Yes to Email', 'Topic': 'Email Preferences', 'Keywords': ['Yes']}, {'Original_Text': ""I know my wife is involved as well so she'll probably get a copy as well."", 'Code': 'Shared with Spouse', 'Topic': 'Sharing Data', 'Keywords': ['Spouse', 'Family']}, {'Original_Text': 'So yeah, send them to me anyway.', 'Code': 'Send to Myself and Spouse', 'Topic': 'Preferences', 'Keywords': ['Send', 'Me', 'Spouse']}]"
9,ts9_9,Excellent. Yep. I can do that. So that'll be in August of this year once the project is completed. And I can also mail you a hard copy of all the study documents if you'd like. Or if you prefer email that's fine too.,Email is fine,"[{'Original_Text': 'Email is fine.', 'Code': 'Preferred Contact Method = Email', 'Topic': 'Preferred Communication', 'Keywords': ['Email', 'Preferred']}]"
10,ts9_10,"Alright, Excellent. So thank you very much for that. That's all that out of the way. So you have four children. Is that right?","Yeah, I've got four.","[{'Original_Text': ""Yeah, I've got four"", 'Code': '4 Kids', 'Topic': 'Family Size', 'Keywords': ['Kids', 'Number']}, {'Original_Text': 'Four', 'Code': 'Four', 'Topic': 'Number', 'Keywords': ['Number']}]"
11,ts9_11,"Yeah, and it's two sets of twins it looks like?","Yeah. That's correct, yeah.","[{'original_text': ""Interviewer: Yeah, and it's two sets of twins it looks like?"", 'code': 'No', 'topic': 'Child Count', 'keywords': ['Number of Kids', 'Twin Status']}, {'original_text': 'Answer: Yeah', 'code': 'One', 'topic': 'Child Count', 'keywords': ['Kids', 'Twin Status']}, {'original_text': ""That's correct, yeah."", 'code': 'Yes', 'topic': 'Child Count', 'keywords': []}]"
15,ts9_15,"Yeah, sure. Um, so if one of your children were starting to get the flu. What symptoms would you expect to see in them?","Probably just generally off color, not acting themselves. Maybe a bit grumpy and tired, lethargic and and along with that complaining of aches and pains. And you know, generally not wanting to do anything that they normally want to do.","[{'Original_Text': 'Probably just generally off color, not acting themselves', 'Code': '', 'Topic': '', 'Keywords': ''}, {'Original_Text': 'Maybe a bit grumpy and tired', 'Code': '', 'Topic': '', 'Keywords': ''}, {'Original_Text': 'lethargic and and along with that complaining of aches and pains', 'Code': '', 'Topic': '', 'Keywords': ''}, {'Original_Text': 'And you know, generally not wanting to do anything that they normally want to do.', 'Code': '', 'Topic': '', 'Keywords': ''}]"
0,ts9_0,"Now so we can get started by doing a kind of a consent process. So I'm going to read you a series of statements and I'll just have you Say yes, I agree to them, or no, I don't.","Alright, Okay.","[{'Original_Text': 'Alright', 'Code': 'Ready to Discuss Consent', 'Topic': 'Participant', 'Keywords': ['Initial Statement', 'Preparedness']}, {'Original_Text': 'Okay.', 'Code': 'Ready to Discuss Consent', 'Topic': 'Participant', 'Keywords': ['Initial Statement', 'Preparedness']}]"
2,ts9_2,"I understand that my participation is voluntary, and that I am free to withdraw at any time without giving any reason. I also understand that I can decline to answer any questions during the interview.",I agree.,"[{'Original_Text': 'Interviewer: I understand that my participation is voluntary and that you are free to withdraw at any time without giving any reason. I also understand that you can decline to answer any questions during the interview.', 'Code': 'Informed Consent Agreement', 'Topics': 'Informed Consent', 'Keywords': ['Informed Consent', 'Agreement']}, {'Original_Text': 'Answer: I agree.', 'Code': 'Informed Consent Affirmative', 'Topics': 'Informed Consent', 'Keywords': ['Informed Consent', 'Affirmative']}]"
3,ts9_3,I understand the information collected during my interview may be looked at by other researchers from Newcastle University who are working on or assisting with this study. I give permission for these individuals to have access to this information.,I agree,"[{'Original_Text': 'I agree', 'Code': 'Agree Participation', 'Topic': 'Participation', 'Keywords': ['Consent', 'Agreement']}]"
4,ts9_4,Understand that information collected during the interview may be shared with other researchers for use in future researcher teaching purposes and that the data will be thoroughly anonymized first,I agree,"[{'Original_Text': 'I agree', 'code': 'Informed Consent', 'Topic': 'Informed Consent', 'Keywords': ['Informed Consent']}]"
6,ts9_6,"I understand that direct quotations may be taken from what I say and use in research or publications, but I will not be identifiable from these quotations.",I agree.,"[{'Original text': 'I agree', 'Code': 'agree'}]"
7,ts9_7,And I agree to take part in this study.,"Yeah, I agree.","[{'Original_Text': 'And I agree to take part in this study.', 'Code': 'Agree to be Interviewed', 'Topic': 'Agreement', 'Keywords': ['Participant']}, {'Original_Text': 'Yeah, I agree.', 'Code': 'Agreement', 'Topic': 'Agreement', 'Keywords': ['Interviewee']}]"
8,ts9_8,"Excellent. And there's just two last things. So if you'd like to receive a copy of the research findings, I can send those to you after the studies completed and send those to your email address.","Yeah, that's fine. I know my wife is involved as well so she'll probably get a copy as well. So yeah, send them to me anyway.","[{'Original_Text': ""Yeah, that's fine. I know my wife is involved as well so she'll probably get a copy as well. So yeah, send them to me anyway."", 'Code': 'Both Parents Receiving Findings', 'Topic': 'Sharing and Receiving', 'Keywords': ['Findings', 'Sharing']}]"
9,ts9_9,Excellent. Yep. I can do that. So that'll be in August of this year once the project is completed. And I can also mail you a hard copy of all the study documents if you'd like. Or if you prefer email that's fine too.,Email is fine,"[{'Original_Text': 'Email is fine', 'Code': 'Email Preferred', 'Topic': 'Communication', 'Keywords': ['Preferred', 'Communication']}]"
10,ts9_10,"Alright, Excellent. So thank you very much for that. That's all that out of the way. So you have four children. Is that right?","Yeah, I've got four.","[{'Original_Text': ""Yeah, I've got four."", 'Code': 'Four Children', 'Topic': 'Children', 'Keywords': ['Number']}, {'Original_Text': ""I've got four."", 'Code': 'Four Children', 'Topic': 'Children', 'Keywords': ['Number']}]"
11,ts9_11,"Yeah, and it's two sets of twins it looks like?","Yeah. That's correct, yeah.","[{'Original_Text': ""Yeah. That's correct, yeah."", 'Code': 'Yes', 'Topic': 'Question Response', 'Keywords': ['Correct', 'Yes']}]"
12,ts9_12,"So two of your children or seven and two are four. Is that right, that's right, yeah. So how are they doing with, you know, all of them being at home these days?","They haven't strangled each other yet which I'm considering a plus point. For the most part they're alright because they have siblings to play with and stuff. They kind of, you know, they're not suffering from any kind of loneliness, which I'm thinking some of their are. I think sometimes just want to get away from each other. We've got quite a big garden and a decent sized house so it's going okay.","[{'Original_Text': ""They haven't strangled each other yet"", 'Code': 'Sibling Harmony', 'Topic': 'Health and Development', 'Keywords': ['Sibling', 'Harmony']}, {'Original_Text': ""They're not suffering from any kind of loneliness"", 'Code': 'No Loneliness', 'Topic': 'Health and Development', 'Keywords': ['Loneliness', 'Development']}, {'Original_Text': 'I think sometimes just want to get away from each other.', 'Code': 'Sibling Conflict', 'Topic': 'Health and Development', 'Keywords': ['Sibling', 'Conflict']}]"
0,ts9_0,"Now so we can get started by doing a kind of a consent process. So I'm going to read you a series of statements and I'll just have you Say yes, I agree to them, or no, I don't.","Alright, Okay.","[{'Original_Text': ""Interviewer: Now so we can get started by doing a kind of a consent process. So I'm going to read you a series of statements and I'll just have you Say yes, I agree to them, or no, I don't."", 'Code': 'Open Coding Label', 'Topic': 'Topic', 'Keywords': ['Keywords']}]"
1,ts9_1,"Alright, so the first statement is I confirm that I have read the information sheet for this study. I've had the opportunity to consider the information asked questions and have had these questions answered satisfactorily.",Yeah I agree,"[{'Original Text': 'Yeah, I agree', 'Code': 'Agreement', 'Topic': 'Initial Confirmation', 'Keywords': ['Agreement', 'Information Sheet']}]"
2,ts9_2,"I understand that my participation is voluntary, and that I am free to withdraw at any time without giving any reason. I also understand that I can decline to answer any questions during the interview.",I agree.,"[{'Original_Text': 'I agree.', 'Code': 'I agree.', 'Topic': 'Agree/Disagree', 'Keywords': ['Agree', 'Disagree']}]"
3,ts9_3,I understand the information collected during my interview may be looked at by other researchers from Newcastle University who are working on or assisting with this study. I give permission for these individuals to have access to this information.,I agree,"[{'Original_Text': 'I agree', 'Code': 'Agree Permission for Others', 'Topic': 'Permissions', 'Keywords': ['Yes', 'Others']}]"
5,ts9_5,I understand that the interview will be audio or video recorded according to my preference typed out and all identifying personal details will be removed.,I agree.,"[{'Original_Text': 'I agree.', 'Code': 'Consent Given', 'Topic': 'Interview Consent', 'Keywords': ['Consent']}]"
6,ts9_6,"I understand that direct quotations may be taken from what I say and use in research or publications, but I will not be identifiable from these quotations.",I agree.,"[{'Original_Text': 'I agree.', 'Code': ""Participant's Agreement"", 'Topic': 'Agreement', 'Keywords': ['Participant', 'Agreement']}]"
7,ts9_7,And I agree to take part in this study.,"Yeah, I agree.","[{'Original_Text': 'And I agree to take part in this study.', 'Code': 'Agree', 'Topic': 'Consent', 'Keywords': ['Participant', 'Consent']}, {'Original_Text': 'Yeah, I agree.', 'Code': 'Agree', 'Topic': 'Consent', 'Keywords': ['Participant', 'Consent']}]"
8,ts9_8,"Excellent. And there's just two last things. So if you'd like to receive a copy of the research findings, I can send those to you after the studies completed and send those to your email address.","Yeah, that's fine. I know my wife is involved as well so she'll probably get a copy as well. So yeah, send them to me anyway.","[{'Original_Text': ""Yeah, that's fine."", 'Code': 'Yes, send information to me', 'Topic': 'Permission for Use', 'Keywords': ['Send', 'Copy']}, {'Original_Text': 'I know my wife is involved as well', 'Code': 'Partner Involved', 'Topic': 'Family Involvement', 'Keywords': ['Family', 'Partner']}, {'Original_Text': ""So she'll probably get a copy as well"", 'Code': 'May Send Partner a Copy', 'Topic': 'May Send Partner Information', 'Keywords': ['Partner', 'Copy']}, {'Original_Text': 'So yeah, send them to me anyway', 'Code': 'Yes, send me information', 'Topic': 'Information to be Sent to Me Directly', 'Keywords': ['Me', 'Directly']}]"
9,ts9_9,Excellent. Yep. I can do that. So that'll be in August of this year once the project is completed. And I can also mail you a hard copy of all the study documents if you'd like. Or if you prefer email that's fine too.,Email is fine,"[{'Original_Text': 'Email is fine', 'Code': 'Contact Email', 'Topic': 'Contact Method', 'Keywords': ['Email', 'Preferred Method']}]"
10,ts9_10,"Alright, Excellent. So thank you very much for that. That's all that out of the way. So you have four children. Is that right?","Yeah, I've got four.","[{'Original_Text': '', 'Code': '', 'Topic': '', 'Keywords': []}]"
11,ts9_11,"Yeah, and it's two sets of twins it looks like?","Yeah. That's correct, yeah.","[{'Original_Text': 'Yeah', 'Code': 'Confirmation of Twins', 'Topic': 'Family Structure', 'Keywords': ['Twins', 'Family']}, {'Original_Text': ""That's correct"", 'Code': 'Confirming Multiple Questions', 'Topic': 'Information Confirmation', 'Keywords': ['Confirmation', 'Answers']}, {'Original_Text': 'Yeah', 'Code': 'Confirmation of Twins', 'Topic': 'Family Structure', 'Keywords': ['Twins', 'Family']}]"
15,ts9_15,"Yeah, sure. Um, so if one of your children were starting to get the flu. What symptoms would you expect to see in them?","Probably just generally off color, not acting themselves. Maybe a bit grumpy and tired, lethargic and and along with that complaining of aches and pains. And you know, generally not wanting to do anything that they normally want to do.","[{'Original_Text': 'Probably just generally off colour, not acting themselves', 'Code': 'Off Colors', 'Topic': 'Symptoms', 'Keywords': ['']}, {'Original_Text': 'Maybe a bit grumpy and tired, lethargic', 'Code': 'Lethargic', 'Topic': 'Symptoms', 'Keywords': ['']}, {'Original_Text': 'Aches and pains', 'Code': 'Aches and Pains', 'Topic': 'Symptoms', 'Keywords': ['']}, {'Original_Text': 'Not wanting to do anything that they normally want to do.', 'Code': 'Lack of Motivation', 'Topic': 'Symptoms', 'Keywords': ['Activity']}]"
0,ts9_0,"Now so we can get started by doing a kind of a consent process. So I'm going to read you a series of statements and I'll just have you Say yes, I agree to them, or no, I don't.","Alright, Okay.","[{'Original_Text': 'Alright, Okay.', 'Code': 'Agreement', 'Topic': 'Consent', 'Keywords': ['Yes', 'Agreement']}]"
2,ts9_2,"I understand that my participation is voluntary, and that I am free to withdraw at any time without giving any reason. I also understand that I can decline to answer any questions during the interview.",I agree.,"[{'Original_Text': 'I agree.', 'Code': 'Agree', 'Topic': 'Participant Consent', 'Keywords': ['Agreement']}]"
3,ts9_3,I understand the information collected during my interview may be looked at by other researchers from Newcastle University who are working on or assisting with this study. I give permission for these individuals to have access to this information.,I agree,"[{'Original_Text': 'I agree', 'Coded_Response': 'Agree', 'Topic': 'Consent', 'Keyword': 'Agree'}]"
4,ts9_4,Understand that information collected during the interview may be shared with other researchers for use in future researcher teaching purposes and that the data will be thoroughly anonymized first,I agree,"[{'Original_Text': 'I agree', 'Code': 'Agreement to Participant Interview Consent', 'Topic': 'Participant Consent', 'Keywords': ['Consent', 'Agree']}]"
5,ts9_5,I understand that the interview will be audio or video recorded according to my preference typed out and all identifying personal details will be removed.,I agree.,"[{'Original_Text': 'I agree', 'Code': 'Consent to Record', 'Topic': 'Participant Consent', 'Keywords': ['Agreement']}, {'Original_Text': 'Interviewer: I understand that the interview will be audio or video recorded according to my preference typed out and all identifying personal details will be removed.', 'Code': 'Consent to Record', 'Topic': 'Consent', 'Keywords': ['Record', 'Consent']}]"
6,ts9_6,"I understand that direct quotations may be taken from what I say and use in research or publications, but I will not be identifiable from these quotations.",I agree.,"[{'Original_Text': 'I agree.', 'Code': 'Agreement', 'Topic': 'Publication Agreement', 'Keywords': ['Publication', 'Agreement']}]"
8,ts9_8,"Excellent. And there's just two last things. So if you'd like to receive a copy of the research findings, I can send those to you after the studies completed and send those to your email address.","Yeah, that's fine. I know my wife is involved as well so she'll probably get a copy as well. So yeah, send them to me anyway.","[{'Original_Text': ""Yeah, that's fine"", 'Code': 'Email Research Findings', 'Topic': 'Research Findings Provision', 'Keywords': ['Email', 'Results']}, {'Original_Text': ""I know my wife is involved as well so she'll probably get a copy as well. So yeah, send them to me anyway."", 'Code': 'Send Results to Wife', 'Topic': 'Secondary Contact', 'Keywords': ['Wife', 'Copy']}]"
9,ts9_9,Excellent. Yep. I can do that. So that'll be in August of this year once the project is completed. And I can also mail you a hard copy of all the study documents if you'd like. Or if you prefer email that's fine too.,Email is fine,"[{'Original_Text': 'Interviewee', 'Code': 'Contact/ID', 'Topic': 'Participant ID', 'Keywords': ['ID', 'ContactInfo']}, {'Original_Text': 'Email is fine?', 'Code': 'Preferred Email', 'Topic': 'Preferred Contact', 'Keywords': ['Email', 'Contact']}, {'Original_Text': 'What email is that?', 'Code': 'Provide Email', 'Topic': 'Contact Info', 'Keywords': ['Contact information', 'Email address']}]"
11,ts9_11,"Yeah, and it's two sets of twins it looks like?","Yeah. That's correct, yeah.","[{'Original_Text': ""Yeah. That's correct, yeah."", 'Code': 'Number of Children', 'Topic': 'Family Size', 'Keywords': ['Number', 'Children', 'Family']}]"
13,ts9_13,Yeah with four children I think you would need a decent sized garden. I cant imagine it would work any other way.,No,"[{'Original_Text': 'No', 'Code': 'Not a Problem', 'Topic': 'Lifestyle', 'Keywords': ['Parents', 'Garden']}]"
0,ts9_0,"Now so we can get started by doing a kind of a consent process. So I'm going to read you a series of statements and I'll just have you Say yes, I agree to them, or no, I don't.","Alright, Okay.","[{'Original_Text': 'I am age 18 or older?', 'Response': 'No'}]"
2,ts9_2,"I understand that my participation is voluntary, and that I am free to withdraw at any time without giving any reason. I also understand that I can decline to answer any questions during the interview.",I agree.,"[{'Original_Text': 'I agree.', 'Code': 'Participant agrees to interview', 'Topic': 'Informed Consent', 'Keywords': ['Participant', 'Informed Consent']}]"
3,ts9_3,I understand the information collected during my interview may be looked at by other researchers from Newcastle University who are working on or assisting with this study. I give permission for these individuals to have access to this information.,I agree,"[{'Original_Text': 'I agree', 'Code': 'Agree', 'Topic': 'Participant Input', 'Keywords': ['Agree', 'Input']}]"
4,ts9_4,Understand that information collected during the interview may be shared with other researchers for use in future researcher teaching purposes and that the data will be thoroughly anonymized first,I agree,"[{'Original_Text': 'I agree', 'Code': 'Accepted IRB', 'Topic': 'IRB Consent', 'Keywords': ['Consent', 'IRB']}]"
5,ts9_5,I understand that the interview will be audio or video recorded according to my preference typed out and all identifying personal details will be removed.,I agree.,"[{'Original_Text': 'I agree.', 'Code': 'Agree', 'Topic': 'Consent to Records', 'Keywords': ['Consent', 'Recordings']}]"
6,ts9_6,"I understand that direct quotations may be taken from what I say and use in research or publications, but I will not be identifiable from these quotations.",I agree.,"[{'Original_Text': 'I agree.'}, {'Code': 'Informed Consent Given'}, {'Topic': 'Privacy Agreement'}, {'Keywords': ['Privacy', 'Informed Consent']}]"
7,ts9_7,And I agree to take part in this study.,"Yeah, I agree.","[{'Original_Text': 'And I agree to take part in this study.', 'Code': 'Agreed to Participate', 'Topic': 'Participation', 'Keywords': ['Participate', 'Participation']}, {'Original_Text': 'Yeah, I agree.', 'Code': 'Willingness and Availability', 'Topic': 'Participant Personality', 'Keywords': ['Yes', 'Willing']}]"
8,ts9_8,"Excellent. And there's just two last things. So if you'd like to receive a copy of the research findings, I can send those to you after the studies completed and send those to your email address.","Yeah, that's fine. I know my wife is involved as well so she'll probably get a copy as well. So yeah, send them to me anyway.","[{'Original_Text': ""I know my wife is involved as well so she'll probably get a copy as well. So yeah, send them to me anyway."", 'Code': 'Ask Wife', 'Topic': 'Contact', 'Keywords': ['Wife', 'Email']}]"
9,ts9_9,Excellent. Yep. I can do that. So that'll be in August of this year once the project is completed. And I can also mail you a hard copy of all the study documents if you'd like. Or if you prefer email that's fine too.,Email is fine,"[{'Original_Text': ""I can also mail you a hard copy of all the study documents if you'd like."", 'Code': 'Offer Hard Copies', 'Topic': 'Contact', 'Keywords': ['Documents', 'Hard Copies']}]"
