row,id,prompt,topic,label_json
11,Q11_Obe_2,Q11_At-Risk Populations,Obesity,[]
12,Q12_Dep_0,Q12_Risk Factors,Depression,[{'Axial_Category': 'Adverse Childhood Experience'}]
13,Q12_Dep_1,Q12_Risk Factors,Depression,"[{'Axial_Category': 'Economic Concerns (Affect On Purchasing Habits, Savings Rate, Future Plans)'}, {'Axial_Category': 'Lack of Connection and Lacking Job Skills for the Workforce'}]"
14,Q12_Dep_2,Q12_Risk Factors,Depression,[]
15,Q12_Obe_0,Q12_Risk Factors,Obesity,[]
0,Q10_Dep_0,Q10_Health Impact,Depression,[]
1,Q10_Dep_1,Q10_Health Impact,Depression,[{'Axial_Category': 'Being susceptible to depression impacts physical health'}]
2,Q10_Dep_2,Q10_Health Impact,Depression,[{'Axial_Category': 'Mental Health Impact'}]
3,Q10_Obe_0,Q10_Health Impact,Obesity,[{'Axial_Category': 'No area effects'}]
4,Q10_Obe_1,Q10_Health Impact,Obesity,[]
5,Q10_Obe_2,Q10_Health Impact,Obesity,"[{'Axial_Category': 'The Flu at UVU'}, {'Axial_Category': 'The Flu Shot and UVU'}]"
6,Q11_Dep_0,Q11_At-Risk Populations,Depression,[{'Axial_Category': 'Majority Groups'}]
7,Q11_Dep_1,Q11_At-Risk Populations,Depression,[]
8,Q11_Dep_2,Q11_At-Risk Populations,Depression,[]
9,Q11_Obe_0,Q11_At-Risk Populations,Obesity,[{'Axial_Category': 'Class and Diversity'}]
10,Q11_Obe_1,Q11_At-Risk Populations,Obesity,[]
11,Q11_Obe_2,Q11_At-Risk Populations,Obesity,"[{'Axial_Category': 'Obesity is not Gender Based'}, {'Axial_Category': 'Poverty Impacts Child Health'}, {'Axial_Category': 'Economic Means Impact Health'}]"
12,Q12_Dep_0,Q12_Risk Factors,Depression,[]
13,Q12_Dep_1,Q12_Risk Factors,Depression,[{'Axial_Category': 'Financial Concerns'}]
14,Q12_Dep_2,Q12_Risk Factors,Depression,"[{'Axial_Category': 'Believing that they are doing just fine on their own'}, {'Axial_Category': 'Thinking they’re above everyone else, but still asking for handouts'}]"
15,Q12_Obe_0,Q12_Risk Factors,Obesity,"[{'Axial_Category': 'Living in a less than ideal environment'}, {'Axial_Category': 'Young Adults lack work experience but crave experiential learning'}, {'Axial_Category': 'Needing external validation'}, {'Axial_Category': 'Lacking work experience, but feeling confident in abilities, especially compared to previous generations'}]"
0,Q10_Dep_0,Q10_Health Impact,Depression,[{'Axial_Category': 'Wanting experiential learning; constantly learning'}]
1,Q10_Dep_1,Q10_Health Impact,Depression,"[{'Axial_Category': 'Depression'}, {'Axial_Category': 'Flu Awareness'}, {'Axial_Category': 'Parents and Teenagers'}, {'Axial_Category': 'Receiving feedback'}]"
2,Q10_Dep_2,Q10_Health Impact,Depression,[]
3,Q10_Obe_0,Q10_Health Impact,Obesity,[{'Axial_Category': 'No Real World Experience'}]
4,Q10_Obe_1,Q10_Health Impact,Obesity,"[{'Axial_Category': 'Impacts on People that are Obese'}, {'Axial_Category': 'Believing they are ready to be set loose on accounts'}]"
5,Q10_Obe_2,Q10_Health Impact,Obesity,"[{'Axial_Category': 'Current State of Issues'}, {'Axial_Category': 'The Flu'}]"
6,Q11_Dep_0,Q11_At-Risk Populations,Depression,"[{'Axial_Category': 'Being an at-risk populatIon'}, {'Axial_Category': 'Being a female'}]"
7,Q11_Dep_1,Q11_At-Risk Populations,Depression,[]
8,Q11_Dep_2,Q11_At-Risk Populations,Depression,[{'Axial_Category': 'They do not understand or believe'}]
9,Q11_Obe_0,Q11_At-Risk Populations,Obesity,[]
10,Q11_Obe_1,Q11_At-Risk Populations,Obesity,[]
11,Q11_Obe_2,Q11_At-Risk Populations,Obesity,[]
12,Q12_Dep_0,Q12_Risk Factors,Depression,"[{'Axial_Category': 'Familial Risk'}, {'Axial_Category': 'Supply chain issues'}, {'Axial_Category': 'Q12 - Life Style Factors'}]"
13,Q12_Dep_1,Q12_Risk Factors,Depression,[]
14,Q12_Dep_2,Q12_Risk Factors,Depression,[{'Axial_Category': 'Social Isolation'}]
15,Q12_Obe_0,Q12_Risk Factors,Obesity,[]
16,Q12_Obe_1,Q12_Risk Factors,Obesity,[{'Axial_Category': 'Sedentary Lifestyle'}]
17,Q12_Obe_2,Q12_Risk Factors,Obesity,[{'Axial_Category': 'Lack of income and education'}]
18,Q13_Dep_0,Q13_Root Cause,Depression,"[{'Axial_Category': 'Lack of Professional Treatment'}, {'Axial_Category': 'Change in Environments'}, {'Axial_Category': 'A Lack of Community'}, {'Axial_Category': 'No Looking Out For Others'}, {'Axial_Category': 'Disparities in Community'}, {'Axial_Category': 'Competition among Younger Children'}, {'Axial_Category': 'Increased Access to Tech at an Early Age'}, {'Axial_Category': 'Lack of Supervision'}, {'Axial_Category': 'Increased Income Differences'}, {'Axial_Category': 'LDS Culture of Comparison'}, {'Axial_Category': 'Members of LDS Struggle to Measure up'}, {'Axial_Category': 'We see the perfectionism'}]"
19,Q13_Dep_1,Q13_Root Cause,Depression,[]
20,Q13_Dep_2,Q13_Root Cause,Depression,[{'Axial_Category': 'Society and People you Surround Yourself With'}]
21,Q13_Obe_0,Q13_Root Cause,Obesity,[]
22,Q13_Obe_1,Q13_Root Cause,Obesity,[]
23,Q13_Obe_2,Q13_Root Cause,Obesity,"[{'Axial_Category': 'Lack of Food Education Resources'}, {'Axial_Category': 'Lack of Access to Nutritional Food'}]"
24,Q14_Dep_0,Q14_Community Strengths,Depression,[]
25,Q14_Dep_1,Q14_Community Strengths,Depression,[]
26,Q14_Dep_2,Q14_Community Strengths,Depression,"[{'Axial_Category': 'Mental health resources that support mental well-being'}, {'Axial_Category': 'Community strength which combats depression'}, {'Axial_Category': 'Supportive communities'}, {'Axial_Category': 'Mentorship'}]"
27,Q14_Obe_0,Q14_Community Strengths,Obesity,[]
28,Q14_Obe_1,Q14_Community Strengths,Obesity,[{'Axial_Category': 'Age Concern/Health Concern'}]
29,Q14_Obe_2,Q14_Community Strengths,Obesity,[]
30,Q15_Dep_0,Q15_Resources,Depression,[]
31,Q15_Dep_1,Q15_Resources,Depression,[{'Axial_Category': 'Seeking emotional support'}]
16,Q12_Obe_1,Q12_Risk Factors,Obesity,[]
17,Q12_Obe_2,Q12_Risk Factors,Obesity,[{'Axial_Category': 'Lack of education on and access to healthy food and physical activity'}]
18,Q13_Dep_0,Q13_Root Cause,Depression,[]
19,Q13_Dep_1,Q13_Root Cause,Depression,"[{'Axial_Category': 'A Disease'}, {'Axial_Category': 'Seeking External Validation'}, {'Axial_Category': 'Entitlement'}]"
20,Q13_Dep_2,Q13_Root Cause,Depression,[{'Axial_Category': 'Surrounding and Associating with the right People'}]
21,Q13_Obe_0,Q13_Root Cause,Obesity,[{'Axial_Category': 'Social Isolation'}]
22,Q13_Obe_1,Q13_Root Cause,Obesity,"[{'Axial_Category': 'The social factors surrounding your environment'}, {'Axial_Category': 'Social/Economic'}, {'Axial_Category': 'Money/Financial'}, {'Axial_Category': 'The lack of time and resource'}, {'Axial_Category': 'Attitude'}, {'Axial_Category': 'Lack of Learning'}, {'Axial_Category': 'Hereditary'}, {'Axial_Category': 'Social'}, {'Axial_Category': 'Specific'}, {'Axial_Category': 'Economic'}, {'Axial_Category': 'Time'}, {'Axial_Category': 'Financial/Inflation'}, {'Axial_Category': 'Lack of knowledge'}]"
23,Q13_Obe_2,Q13_Root Cause,Obesity,[{'Axial_Category': 'Lack of Healthy Eating Habits'}]
24,Q14_Dep_0,Q14_Community Strengths,Depression,[{'Axial_Category': 'Asset: Access to Program'}]
25,Q14_Dep_1,Q14_Community Strengths,Depression,[]
26,Q14_Dep_2,Q14_Community Strengths,Depression,[{'Axial_Category': 'Training'}]
27,Q14_Obe_0,Q14_Community Strengths,Obesity,"[{'Axial_Category': 'Being in touch with their body and health'}, {'Axial_Category': 'Caring for their health'}, {'Axial_Category': 'Wanting a place for fun excercise'}]"
28,Q14_Obe_1,Q14_Community Strengths,Obesity,[]
29,Q14_Obe_2,Q14_Community Strengths,Obesity,[{'Axial_Category': 'Engaging in Marathon Activity'}]
30,Q15_Dep_0,Q15_Resources,Depression,[]
31,Q15_Dep_1,Q15_Resources,Depression,"[{'Axial_Category': 'Desiring a larger community, greater belonging'}]"
16,Q12_Obe_1,Q12_Risk Factors,Obesity,[{'Axial_Category': 'Lack of opportunities for physical activity within the community'}]
17,Q12_Obe_2,Q12_Risk Factors,Obesity,"[{'Axial_Category': 'Cost'}, {'Axial_Category': 'Income'}, {'Axial_Category': 'Cost vs. Lack of Access'}]"
18,Q13_Dep_0,Q13_Root Cause,Depression,[]
19,Q13_Dep_1,Q13_Root Cause,Depression,[]
20,Q13_Dep_2,Q13_Root Cause,Depression,"[{'Axial_Category': ""Cultural Factors: Parents have their children's best interests at heart in sending them to Mental Health Treatments, but these Treatments can actually hinder development and hinder their Mental Health.""}, {'Axial_Category': 'Social Impact: Society places much more importance on Mental Health than Parents'}, {'Axial_Category': ""Parental Influence: Social Media: Peer pressure, as well other impacts from social media, plays a large role in a person's choice and quality of friends.""}]"
21,Q13_Obe_0,Q13_Root Cause,Obesity,"[{'Axial_Category': 'Community, Culture, Education System'}]"
22,Q13_Obe_1,Q13_Root Cause,Obesity,[]
23,Q13_Obe_2,Q13_Root Cause,Obesity,[]
24,Q14_Dep_0,Q14_Community Strengths,Depression,[{'Axial_Category': 'Building upon their assets'}]
25,Q14_Dep_1,Q14_Community Strengths,Depression,"[{'Axial_Category': 'Belief Systems'}, {'Axial_Category': 'They are self-aware and ready to be set loose by firms on accounts'}]"
26,Q14_Dep_2,Q14_Community Strengths,Depression,[{'Axial_Category': 'Life coaches and acupuncture available'}]
27,Q14_Obe_0,Q14_Community Strengths,Obesity,[]
28,Q14_Obe_1,Q14_Community Strengths,Obesity,[{'Axial_Category': 'Positive Community Strengths'}]
29,Q14_Obe_2,Q14_Community Strengths,Obesity,[{'Axial_Category': 'Recreation In A Town'}]
30,Q15_Dep_0,Q15_Resources,Depression,"[{'Axial_Category': 'Lacking appropriate resources for coping or understanding'}, {'Axial_Category': 'Being constantly stressed, burnt-out, and overworked'}]"
31,Q15_Dep_1,Q15_Resources,Depression,[{'Axial_Category': ''}]
16,Q12_Obe_1,Q12_Risk Factors,Obesity,[{'Axial_Category': 'Individual Mindset: Low Activity'}]
17,Q12_Obe_2,Q12_Risk Factors,Obesity,"[{'Axial_Category': 'Lack of Resources and Healthcare'}, {'Axial_Category': 'Financial Poverty'}, {'Axial_Category': 'Money and Health Concerns'}, {'Axial_Category': 'The Need to Live a Healthy Life'}]"
18,Q13_Dep_0,Q13_Root Cause,Depression,[]
19,Q13_Dep_1,Q13_Root Cause,Depression,[{'Axial_Category': 'Biomedical Perspective of Mental Health'}]
20,Q13_Dep_2,Q13_Root Cause,Depression,[]
21,Q13_Obe_0,Q13_Root Cause,Obesity,[{'Axial_Category': 'Lack of Physical Activity'}]
22,Q13_Obe_1,Q13_Root Cause,Obesity,[]
23,Q13_Obe_2,Q13_Root Cause,Obesity,[]
24,Q14_Dep_0,Q14_Community Strengths,Depression,[]
25,Q14_Dep_1,Q14_Community Strengths,Depression,"[{'Axial_Category': ""A Person's Environment""}]"
26,Q14_Dep_2,Q14_Community Strengths,Depression,[{'Axial_Category': 'Community Connection Can Reduce Mental Illness'}]
27,Q14_Obe_0,Q14_Community Strengths,Obesity,[]
28,Q14_Obe_1,Q14_Community Strengths,Obesity,[{'Axial_Category': 'Access to Community Centers'}]
29,Q14_Obe_2,Q14_Community Strengths,Obesity,[{'Axial_Category': 'Recreational Spaces'}]
30,Q15_Dep_0,Q15_Resources,Depression,"[{'Axial_Category': 'Lack of resources'}, {'Axial_Category': 'Minimal impact'}]"
31,Q15_Dep_1,Q15_Resources,Depression,"[{'Axial_Category': 'Wanting and having issues accessing help'}, {'Axial_Category': 'Wanting and having issues accessing health insurance'}]"
16,Q12_Obe_1,Q12_Risk Factors,Obesity,[]
17,Q12_Obe_2,Q12_Risk Factors,Obesity,[]
18,Q13_Dep_0,Q13_Root Cause,Depression,[]
19,Q13_Dep_1,Q13_Root Cause,Depression,"[{'Axial_Category': 'Mental Health Treatment'}, {'Axial_Category': 'Drug Abuse Treatment'}, {'Axial_Category': 'Mental Illness Diagnosis'}]"
20,Q13_Dep_2,Q13_Root Cause,Depression,[]
21,Q13_Obe_0,Q13_Root Cause,Obesity,"[{'Axial_Category': ""People's desire for personal independence""}]"
22,Q13_Obe_1,Q13_Root Cause,Obesity,[]
23,Q13_Obe_2,Q13_Root Cause,Obesity,[{'Axial_Category': 'Lack of nutritional education'}]
24,Q14_Dep_0,Q14_Community Strengths,Depression,[]
25,Q14_Dep_1,Q14_Community Strengths,Depression,[]
26,Q14_Dep_2,Q14_Community Strengths,Depression,[{'Axial_Category': 'Identifying a community that can help'}]
27,Q14_Obe_0,Q14_Community Strengths,Obesity,"[{'Axial_Category': 'The Governor has been a long-term resource in keeping people healthy'}, {'Axial_Category': 'The Governor has not been a long-term resource in keeping people healthy'}, {'Axial_Category': 'Residents feel secure with the Governor on the Board, but are still skeptical around it'}, {'Axial_Category': 'Residents feel insecure with the Governor on the Board'}, {'Axial_Category': 'Residents feel secure with the Governor, and are grateful for it'}]"
28,Q14_Obe_1,Q14_Community Strengths,Obesity,[]
29,Q14_Obe_2,Q14_Community Strengths,Obesity,"[{'Axial_Category': 'Outdoor activities and parks are important to residents, but parks are underutilized'}]"
30,Q15_Dep_0,Q15_Resources,Depression,[{'Axial_Category': 'No Resources Mentioned'}]
31,Q15_Dep_1,Q15_Resources,Depression,"[{'Axial_Category': 'Social Issues'}, {'Axial_Category': 'Human Resources'}]"
16,Q12_Obe_1,Q12_Risk Factors,Obesity,[]
17,Q12_Obe_2,Q12_Risk Factors,Obesity,[{'Axial_Category': 'Social/Community Factors'}]
18,Q13_Dep_0,Q13_Root Cause,Depression,[]
19,Q13_Dep_1,Q13_Root Cause,Depression,[]
20,Q13_Dep_2,Q13_Root Cause,Depression,[]
21,Q13_Obe_0,Q13_Root Cause,Obesity,[{'Axial_Category': 'Lack of fitness in general.'}]
22,Q13_Obe_1,Q13_Root Cause,Obesity,[]
23,Q13_Obe_2,Q13_Root Cause,Obesity,[]
24,Q14_Dep_0,Q14_Community Strengths,Depression,"[{'Axial_Category': 'Finding Strengths and Opportunities'}, {'Axial_Category': 'Not yet ready for service'}, {'Axial_Category': 'A lack of work'}]"
25,Q14_Dep_1,Q14_Community Strengths,Depression,[]
26,Q14_Dep_2,Q14_Community Strengths,Depression,[]
27,Q14_Obe_0,Q14_Community Strengths,Obesity,[{'Axial_Category': 'Rec Centers and Gyms'}]
28,Q14_Obe_1,Q14_Community Strengths,Obesity,[]
29,Q14_Obe_2,Q14_Community Strengths,Obesity,[{'Axial_Category': 'Recreation and Parks'}]
30,Q15_Dep_0,Q15_Resources,Depression,[{'Axial_Category': 'Inaccurate or incomplete information'}]
31,Q15_Dep_1,Q15_Resources,Depression,[{'Axial_Category': 'Lack of Access to Care'}]
16,Q12_Obe_1,Q12_Risk Factors,Obesity,[]
17,Q12_Obe_2,Q12_Risk Factors,Obesity,"[{'Axial_Category': 'Increase the cost of Fast Food by improving local farming, food distribution, and nutrition education'}]"
18,Q13_Dep_0,Q13_Root Cause,Depression,[]
19,Q13_Dep_1,Q13_Root Cause,Depression,[]
20,Q13_Dep_2,Q13_Root Cause,Depression,"[{'Axial_Category': 'Surrounding People'}, {'Axial_Category': 'Learned Behaviors'}, {'Axial_Category': 'Culture'}, {'Axial_Category': 'Social Impact'}, {'Axial_Category': 'Affluence'}, {'Axial_Category': 'Family'}, {'Axial_Category': 'Family'}, {'Axial_Category': 'Family'}]"
21,Q13_Obe_0,Q13_Root Cause,Obesity,[{'Axial_Category': 'Mind Reading and Expectations for a Miracle Worker'}]
22,Q13_Obe_1,Q13_Root Cause,Obesity,[{'Axial_Category': 'Lack of Finances'}]
23,Q13_Obe_2,Q13_Root Cause,Obesity,"[{'Axial_Category': 'No Flu Vaccine Plan'}, {'Axial_Category': 'Food Documentary'}, {'Axial_Category': 'Health Class'}, {'Axial_Category': 'Took Health Course, Experienced Fitness Teachers'}]"
24,Q14_Dep_0,Q14_Community Strengths,Depression,"[{'Axial_Category': 'Service Utilization'}, {'Axial_Category': 'Transportation and Flexibility'}]"
25,Q14_Dep_1,Q14_Community Strengths,Depression,[{'Axial_Category': 'Beliefs about religion or resources available'}]
26,Q14_Dep_2,Q14_Community Strengths,Depression,[{'Axial_Category': 'Community Strength'}]
27,Q14_Obe_0,Q14_Community Strengths,Obesity,[]
28,Q14_Obe_1,Q14_Community Strengths,Obesity,[{'Axial_Category': 'Lack of community resources'}]
29,Q14_Obe_2,Q14_Community Strengths,Obesity,[{'Axial_Category': 'Trails in Town'}]
30,Q15_Dep_0,Q15_Resources,Depression,[{'Axial_Category': 'Not providing additional resources besides flu hotline'}]
31,Q15_Dep_1,Q15_Resources,Depression,"[{'Axial_Category': 'Unmet needs for Utahns'}, {'Axial_Category': 'Belief for readiness'}]"
16,Q12_Obe_1,Q12_Risk Factors,Obesity,"[{'Axial_Category': ''}, {'Axial_Category': 'Limited Use'}]"
17,Q12_Obe_2,Q12_Risk Factors,Obesity,"[{'Axial_Category': 'Inability to afford fresh food due to poverty'}, {'Axial_Category': 'See below'}]"
18,Q13_Dep_0,Q13_Root Cause,Depression,"[{'Axial_Category': 'LDS Millennials Struggle with Perfectionism'}, {'Axial_Category': 'Believing they are ready to be set loose on accounts'}, {'Axial_Category': 'Seeking external validation'}]"
