,prompt,answer
21,Yeah.,"I don't think I've ever actively gone and looked at any more detail beyond that, to be honest."
22,"Sure. So it sounds like what you're saying is it's just, you know, if a GP recommends it to you or if some other medical professional recommends it to you, that's kind of all the all the extra information you need to be worth it.","Yeah. For something to be on a on a childhood vaccination schedule, then that's gone through all kinds of levels of consideration and whether thats medical, whether thats ethical. All of those kinds of decisions, I think probably have been made by people with much more of an understanding of everything that I do. I'm lay when it comes to medicine. So I'm pretty happy to take their word for it, if that make sense."
23,"Yeah no absolutely it just sort of trust. You know, trust the medical experts, essentially, is what it sounds like you're saying.",yeah.
24,So sort of related to that. Do you think there are any downsides of having your child get the flu vaccine?,"No. No it's, it's a quick and painless thing then its over in a second. I wouldn't have expected him to have any after effects because of it and that’s whats happened, that’s whats bourne out. So no downside to it."
25,"Sure. Um, so have you ever talked to a medical professional about the flu vaccine. Specifically, kind of, how did you... I guess what I'm trying to learn here is like how did you know that [Child] could get the flu vaccine? Was that a conversation you had with someone? did you, you know, get a letter? Did you find out online?","It, we, I think, yeah, we had, we had a letter inviting him. Actually, this, this has made me think a bit more now because I did look into whether he could have it at a younger age. Um, sort of like the one to two year range. Yeah, kind of that range because of, because of the circumstances of birth and that was something that I did look into. So I did get in touch with his GP and asked whether that was possible. I think, I think it's only kind of children with with specific conditions and stuff like that that are eligible for that. And it turned out that he wasn't. So that that was a conversation that I had with... That would have been the GP, yeah. But as far as and when he was eligible and and I got the letter off that it was available for him. Then I didn't have any any conversation with anyone about that."
26,"Yeah. So, once you decided to have him vaccinated for the flu this year. Can you walk me through the process of what it was like. You know, to get the vaccination. Was it very simple, you just phone the GP, you had an appointment, you brought him in? Or was it, you know, a little more complicated than that?","No, it was, it was, it was absolutely straightforward. Got the notification through the post and gave them a call, booked an appointment, went in and then showed up for it. The nurse was, the nurse out our practice is lovely and and it was just a very quick and simple, couple of drops up the nose and he was done, got to the end of it and everything was hunky dory."
27,"Yeah, that sounds about as easy as it can get. So how important was it to you, you know, when you got that letter that said he can get this vaccine. How important was it to that he get it? Was it something that you were like picking up the phone, I'm going to ring them right now and get this appointment? Or was it something you were more like well you know if the opportunity arises will do it?",Ah I think I probably arranged the appointment that day.
28,Yeah?,"Yeah, more or less straight away. Yeah."
29,"Yeah. So it sounds like I'm just sort of based on everything that you said, I'm just trying to make sure I'm understanding you correctly, it sounds like you know you have faith in vaccination and in medical professionals. So you're, that faith kind of motivates you to seek out that protection, whenever possible, is that, does that sound accurate to you?","Yeah, yeah."
30,"So I do have a few other questions that you've sort of already spoken to, you've been pretty clear, but we'll just kind of go through them in case you have anything to add about them. So has has [Child] received any other vaccinations, like the childhood ones?","Yeah, yeah he's fully up to date with all of that."
31,Yeah. And how did you decide for that he would have those vaccinations? Or do you feel like it even was a decision?,"Uhm I, for me it wasn't really a decision I needed to make. It was, it was a foregone conclusion. And for me, and I did check in with what his dad thought, what is that thought at the time, and he was on the same page, so that was, was just not, not yet, not, not really a decision."
32,"Yeah, just, you know, it's recommended. It's the thing kind of that you're supposed to do. So you just sort of do it.",Yeah. Yeah.
33,Have you personally had the flu vaccine this year?,"Yes, I have. I've paid for the vaccine for quite a few years now, and my other half gets it free, because of his previous medical history. So it's something that that we've kind of done and I kind of shoehorn him to get on with it, get cracking. It, actually me, me getting the vaccine this year was more upseting for [Child] than him getting his own"
34,Oh yeah? In what way was that?,"Well, yeah, we were, we were sitting there in, I think I got it done at the local Tesco. I was sitting there and he was, he was on my knee and he saw the needle coming towards my arm, and it really, really scared him. Like ""wow! Dont worry, they're sticking it in me not you!"""
35,"Well, it's nice that he was, he was looking out for you didn't, didn't want anybody getting any injections that day. So he when he was vaccinated, he had the nasal spray, Is that right?",Yeah
36,"So do you think that him having a nasal spray. Like, do you think it would have been kind of a more difficult experience for you and for him if he had needed to get an injection or do you think, you know, what do you think had the setting been a little different?","Ah I think, I think he would still get freaked out, a bit freaked out more than he did with the nasal spray but that would have been very quickly. And again, that wouldn't stop me, yeah."
37,"Yeah. Yeah. So yeah, so I can imagine that as a parent, when your child needs an injection. You know you it's unpleasant for them, of course, but you sort of know that now in 20 minutes. They're going to be fine. They will have forgotten about this whole situation.","Right, right. Yeah."
38,"Yeah, but that's nice that you had the nasal spray so that you could sort of avoid that whole, that whole episode. So that's all the questions that I have. So kind of what I like to close with is just asking, is there anything else. That you'd like to say about the flu or the flu vaccine or vaccination in general just anything that I didn't ask that you were hoping you could speak to","And I don't think so. I mean, the possibly, the only other relevant bit of information really is that my mum's a nurse. So I've grown up around hospitals and around, you know, that. And so I think that is quite a big part in my thinking about how much trust in, in the institutions and that's the only other thing, right."
39,"Yeah, no, that's interesting. So you think just because you've been, you know, sort of, since since you were young exposed to kind of people who people who had faith in medicine, you know, as a nurse, of course. She of course has faith in medicine.",Yeah.
40,So you think that it was sort of something that it was the environment you grew up in that sort of instilled those values and you?,"Yeah, yeah, that's how it said i think that's that's probably the reason that it. It wasn't even a decision to make is that that's, that's what I know. That's what I brought up with that and I've never had any reason, despite being through some interesting medical situations. I've never had any reason to lose that bit of faith."
